"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","OtherA","OtherB","OtherC","OtherD","OtherE","OtherF","OtherG","OtherH","GoodsA","GoodsB","GoodsC","GoodsD","GoodsE","GoodsF","GoodsG","GoodsH","TradeA","TradeB","TradeC","TradeD","TradeE","TradeF","TradeG","TradeH","HS1A","HS1B","HS1C","HS1D","HS1E","HS1F","HS1G","HS1H","HS2A","HS2B","HS2C","HS2D","HS2E","HS2F","HS2G","HS2H","HS3A","HS3B","HS3C","HS3D","HS3E","HS3F","HS3G","HS3H"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsD","15.8788368428674","-0.00121409851149732","0.00142961414881815","0.000967939170470479","-0.00475510542795952","-0.00142216406633347","-0.00214904851604706","0.000440092352241666","-0.00105197259006153","-0.00341708401352392","-0.00227952336726676","-0.00473671651714665","-0.154724786886673","-0.00375951375301885","-0.000815148325276624","-0.00177346822778506","-0.00205547650128044","-0.000691454304822897","0.00079354952604719","0.000858591277025703","-0.00943917889836538","-0.00388672908120295","-0.00266526805931123","0.000415234249040683","-0.000392626201426095","0.00148387866801966","0.000966344593431045","-0.0011548106509175","0.00406742054743135","-0.00109718321821677","0","0.00249376884991678","0.00103614393020752","-0.00468618312829202","-0.00266950110053024","-0.00505033168123231","-0.00460828886403923","-0.00650173920349112","-0.00301671838262283","-0.000663274045515842","-0.00197308025073983","0.00149192930972553","0.00110300598934681","-0.000217148740969146","0.000989561049622443","-0.00367934977382","-0.00426425800081319","0.000827331957531513","0.00162234427509702"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeD","31.6046442901299","0.000705298692810259","0.00197891537094157","0.000277955487242644","-0.0188804228914295","-0.00106941510344724","0.00119493595862185","0.00143209164501423","0","0.00100859612277801","-0.000298034666517941","0.00202953753573245","-0.0370348516051524","-0.000331760370122779","-0.0032054958399405","0","-2.38567856971134e-05","0.000750034529328944","0.00175814730284683","0.00150575907668553","-0.179750544209051","-0.00372671062075694","0.000290340327716817","0.00183908054170699","0.00115994074834783","0.00171404016385912","0.000797008226086103","-0.00176052930682186","-0.016014520716009","0","0.000917357940391002","0.00470502289204509","0.00238880990862275","0.00363583943619676","-0.000699211628915201","-0.00163354226581244","-0.017833848975531","-0.00452879132812404","0.000342089015497241","0.000617908070844853","0.00303293484850109","0.000913417559947715","0.00153369034145554","-0.00160332157769524","-0.0215305148253914","-0.00818458466831481","0.00363053758205202","0","0.00119346537124409"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherD","20.5610330259842","-0.00460518126697499","-0.000476598355791383","-0.000815088120396695","-0.226912081313284","-0.00275588347192065","-0.00181608193935314","-0.00117940346541328","-0.00281689459479287","-0.000920215018405992","0","0.000842061870753993","-0.0401491233350199","-0.00169689948912979","-0.000458058073918654","-0.000568514838724771","3.51757900570364e-05","-0.000852916323304727","0.00111807222578784","0.00149647514992178","-0.0309294385857546","-0.00505007346051126","-0.00178145886908662","0.000542324687518474","0.00096318510979807","0.00151570030993143","0.000606942577209832","-0.00332461204749512","-0.011288983444046","-0.00502568733049868","-0.000470961138295587","0.00348982409454173","0.00143039899105486","-0.00246047233297003","-0.00269276199054285","-0.00652887920721642","-0.0190642477818144","-0.00736371343126091","-0.00184278254778022","-0.000387471294696737","-0.000357514799113905","0.00184071605903523","0.00185104075676911","-0.0031953068407057","-0.0188244306248385","-0.00688059650490905","-0.00114049007777675","0.00104187434750606","0.00201656253011725"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsE","-2.07410644424411","-0.000783006077850267","0.0011385865611182","0.00228068110782285","-0.00179452691092318","-0.00915511262402665","-0.00193650282093477","0.00024115014740374","-0.000841970369798967","-0.00289363243725419","-0.0017838357436749","-0.00164347055232245","-0.00176698975381381","-0.12233342905133","-0.000892479061745985","-0.001742253419173","-0.00165833372157163","-0.000621584332894285","0.000370638310363987","0.00108630070793887","-0.00107992181098449","-0.00423586890232545","-0.00258114777205198","0","-0.000416289368283204","0.000885189588364661","0.000549615664715462","-3.88915121266965e-07","0.0010008076207932","0.00269198297437449","-0.000963263325928905","0.000636292115574044","0.000512646304361977","-0.00322603663759469","-0.00216381685044086","-0.00321200692439038","-0.00463302288694244","-0.000711848178901587","-0.0033379607476983","-0.00133987571657375","-0.00212843384334532","0.00101717691453766","0.000800142534564798","-0.000109471850588636","-0.00182741479686683","0.00138647475818141","-0.00530444871015514","0.000322336792464568","0.000724100243352653"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeE","-0.135438561665867","0.000511673288178282","0.00295298046226215","0.00362526007735776","-0.00156012785854351","-0.0337414525886278","-0.000250117483193926","0.00160343144211027","-0.000240377725338165","0.000262246863127627","0.000316366254005359","0","0.00135392925882893","-0.0255488206339763","0.000724659136876372","0.000344951009365136","0.000498440045986503","0.00134106142860139","0.0023508170415211","0.00295085502438245","-0.000672072336765324","-0.180328498828832","-0.00149015595819268","0.000999969032584773","0.00156869473450681","0.00208284943185262","0.000985289748475128","-8.98966267302729e-05","0.000316297944694388","-0.019324413318364","-0.000911599693105699","0.00224510730810561","0.00181230875112556","0.00062141424874718","-0.00131702631905625","-0.00436601175815404","-0.0059264057995856","-0.0133810331778208","-0.00211775531231404","0","0","0.00206216900668437","0.00259498987696466","0","-0.00177970559006283","-0.0184091468236177","-0.00350821982088042","0.00176138823660458","0.00249128689478847"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherE","-12.8206790162705","-0.00872397158229843","-0.00132432589121792","0","-0.003028603883739","-0.145964721094569","-0.0043976805887454","-0.00309559124675017","-0.00538796149937191","-0.00337741741328669","0","0","0","-0.0342639762649665","0","0","0","-0.00237177092832944","0","0.00225408414503374","-0.00198987464640291","-0.0398408565577555","-0.00367211810082237","0","0.00056103884979032","0.00143686310874246","0.000711848706779691","0","0","-0.0136846643470119","-0.00146719816203484","0","0.000851950266894653","-0.00292097706005178","-0.00477104198005292","-0.00728037136627721","-0.0118113768681944","-0.0237771953507794","-0.00652110982972825","-0.00185872831311546","-0.000208009240487272","0.00260021985280599","0.00233530915546353","0","-0.00160197096785593","-0.0185961322492558","-0.0055347387645748","0","0.000112003844279732"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsF","-2.6060825298607","-0.00135910545360728","0.0017128068758098","0.00469093414481718","-0.00243150843909189","0","-0.0129005640554992","-0.000129859855487664","-0.00176036631798637","-0.00498782824842327","-0.0030649234723556","-0.00257046880821561","-0.00155581111044429","-0.00644104036621166","-0.0710407095317571","-0.00249850546393128","-0.0032699250007372","-0.00116275773078061","0.000561529884285222","0.00357155892668123","-7.12522341148164e-05","-0.00339566761081018","-0.00620690873482608","-0.00045730312159972","-0.00109068130535404","0.00202111600841958","0.00128034029891921","0.00150607671519125","0.0034636465409553","0","-0.00249881670573933","0.000442430273977431","0.000829180079657724","-0.00610127218036803","-0.00410856231532806","-0.00279334763416221","-0.00453010138034714","-0.00547398522330917","-0.00490584662737882","-0.00333062285477912","-0.00448925184896324","0.00211175216966174","0.00159051010665802","0.00107058263312438","3.85942457208587e-05","-0.00241136914926192","-0.00853867571855987","0.000163055243516957","0.00149659938088492"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeF","-31.2987413561735","0.000147434280593067","0.00630038901697643","0.0125313356224797","-0.00522405755519729","0.00343591744812529","-0.0465514872081284","0.00258667108038434","-0.00156123807529384","-3.6814835587513e-05","0.00172760169019082","0.00410845877851879","0.00552140348015345","-0.011329879702686","-0.0186490867932848","-0.00202786828675297","0.000668746290645918","0.00270808330043477","0.00568060299254311","0.0123740074117413","0.00505738524106298","-0.000718580602001103","-0.148759562289299","0.00205455031195773","0.00265422563359407","0.00587725196907589","0.0042744011311054","0.00511521132523661","0.00903434357241111","0.00936329267065679","-0.0250610809335243","0.00528761993657123","0.00383115629513704","0.0023269905763798","-0.00288198290201824","-0.000781051717483053","-0.00117850409127839","-0.0056643482045702","-0.0270638508390569","-0.00197749474943571","0.00247056751971177","0.0053324268156308","0.00869599883105085","0.00400649631883041","0.0087089939638711","0","-0.0459322494688952","0.00234296117222628","0.00502552310186859"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherF","-25.8710434307886","-0.0134340539245072","0","0.0106321960088468","-0.018765218244781","-0.000282716092556839","-0.159706127134863","-0.00390679123637542","-0.0106850072354041","-0.00527019033714349","0","0.00152146654446185","0.00687245914550943","-0.0208409624925144","-0.0236843242053129","-0.00535500824657088","-0.000247969429076382","-0.00248080803462495","0.00425346069478581","0.0166076646134561","0.00429907002164789","-0.00587886520846977","-0.0502749549564685","-0.000175680508075821","0.00209350875808673","0.00771472640182441","0.00676539313890166","0.00684665526724246","0.0144498733926802","0.0140137137761513","-0.0272532587203396","0.0082227582827922","0.00478253005041804","-0.00760805520527137","-0.00905058351017539","-0.00606388467162256","-0.00831193902060564","-0.0129549189362484","-0.0456217221923859","-0.00620640216625553","-0.000695938002839724","0.00832895639683668","0.0127990958064899","0.00495334663092806","0.00993919859601186","-0.000748055482468602","-0.066682828408168","0.0043772026920344","0.00665201133290885"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsG","-3.52068738556466","-0.00119611274976471","0.00319563919250445","0.00656493389135736","-0.00484396807724111","0.0010954144618612","-0.0086106524667431","-0.0176115167452087","-0.00180087555444881","-0.00585261728984749","-0.00346214074081156","-0.00270236577564387","-0.000157863824564893","-0.0123909641403426","-0.00395387677456353","-0.0715907057151417","-0.00349415060922042","-0.000688100292244037","0.00134943103794641","0.0071586290109053","0.000592159803743766","-0.00358762849296905","-0.00974795599403623","-0.0114723973087634","-0.000113936524754047","0.00258688415553289","0.00188071487248201","0.00251541990352744","0.00515681221227246","0.00453609554473177","-0.00573525029988159","0.00506746096075125","0.00196693612364956","-0.00992757932089492","-0.00807362945872282","-0.0045532000630086","-0.00700315331461824","-0.00824818965548285","-0.0127144206738741","-0.00256690482211133","-0.00599324777016292","0.00362047668713167","0.00284959586637913","0.00150407125679575","0.00121177514017604","-0.00072639379479124","-0.0167733923417239","0.00355733819577605","0.00204644718233671"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeG","12.1012321045043","-0.000294408869645885","0.00355438207680414","0.00652393876294591","-0.00392594276576451","0.00184095252956452","-0.00691624598840559","-0.0273219344100599","-0.000461703095699701","-0.000632181359625521","-0.000165246785383322","0.00212547006924106","0.00470358632761366","-0.00600130792937073","0","-0.0123559585806611","0.000182579281735444","0.000660193099231986","0.00212996495385837","0.00789435122530142","0.00181816350935631","-0.00181058701727741","-0.00807784626116998","-0.156323471353913","0.00212297177312598","0.00253546085963235","0.00143163798995638","0.00268699355415337","0.00432405825902781","0.00508771602162785","-0.0059180893493434","-0.0152324068338298","0.00241836237755841","-0.00550997646202121","-0.00720949085032557","-0.00358138916800995","-0.00511314996893292","-0.00674982522708734","-0.0111334953857512","-0.0117785258000741","-0.00179912736565039","0.00375401740065003","0.00357684224743973","0.00121824906384902","0.00285909258222162","9.31221536966021e-05","-0.0122569632048696","-0.00778471138002778","0.00230793662575668"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherG","70.9912393754956","-0.0297368606804881","-0.00667700233462339","-0.00527377009965547","-0.0304135366893893","-0.00447787256538926","-0.0403519885237319","-0.183024895417908","-0.0171647672514041","-0.0140992822026244","-0.00432417488105229","-0.00156721164264846","0.0111871223561923","-0.0305494170061745","0","-0.030365129679217","-0.00328840136886925","-0.0146181311464553","-0.00323191966271924","0.0168484883434818","-0.0023346353128295","-0.0153054055763982","-0.0380170508131413","-0.0621767831902694","-0.000448112464192012","0.00664701096196723","0.00321345840011391","0.00348125926897608","0.00318769835049259","0.0127234625076267","-0.0240231780205408","-0.0119492361473429","0.0049184169351339","-0.0378536622368734","-0.0315549654428439","-0.0250380689694675","-0.0279660242275789","-0.029891272386693","-0.0416865980819798","-0.034347241003285","-0.0297463232624879","0.0157643337050967","0.00610605279955773","-0.000556409481930367","-0.00315950080672789","0.00315342055112493","-0.0367726852605311","-0.00478162577709171","0"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ GoodsH","28.7291077396898","-0.00478616807605463","0.00788467735642263","0.0137071450080604","-0.00938027937887634","0.00348262198434791","-0.0165377098126228","-0.000705354266885771","-0.0263538585649829","-0.0107354791602458","-0.00543385118108369","-0.00404268717965921","-0.00191145565857981","-0.0156090881483122","-0.0105392696420497","-0.00528317581619174","-0.120420049362336","-0.000588754954129728","0.0063358378814832","0.014689127122425","0.00293908800853942","-0.00546946959481034","-0.0183930761999064","-0.00287475506764846","-0.0279891659437099","0.00461286044849335","0.00381928853205027","0.0017913924966242","0.0147784661168583","0.0148062860596246","-0.00778030332567812","-0.0063254302554806","-0.00440398907410386","-0.0334016155450881","-0.0113588971489471","-0.0174829511145948","-0.0135102707939256","-0.0163633377467732","-0.024721805635915","-0.0198678096312321","-0.0379692092067068","0.00473542765096444","0.00776202356715994","0.00272637473664225","0.0045194672092968","-0.00016537195377379","-0.034880629713559","-0.00368849189589174","0.000786695121347445"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ TradeH","170.576036054621","-0.00521373819767018","0.0147981644874572","0.0224353975216293","-0.00668389421048703","0.00900300084525575","-0.0207578832406918","0.000494744703210683","-0.0559037416686832","0.00026305648054999","0.00338720092547153","0.0183749558283761","0.0122780788558627","-0.00606214540916881","-0.00341073137636771","-0.00529171411599979","-0.0429047052609285","0.00179502342828069","0.0130629982540464","0.0253856998500702","0.00911708412201477","-0.00196376405363285","-0.0270737787652628","-0.00212257413964339","-0.155463217756555","0.00689488890513387","0.00513433130165764","0.00192391412725801","0.0259519086157763","0.0272210012861587","-0.00208543381370856","-0.00814799511427188","-0.0222961064573111","-0.048273334680501","-0.0145231299861005","-0.0250938668891052","-0.0168347327835885","-0.0236135121265004","-0.0383832927440087","-0.0322868010272366","-0.07669193937583","0.00547297106860158","0.0176310568957348","0.0039817288245179","0.0143766302637419","0.00581516313779754","-0.0463930261198514","-0.00996999665033029","-0.0108516801653546"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ OtherH","24.0652354434152","-0.0115065334715063","-0.00176072080331983","0.00302068027911777","-0.0126639834447572","-0.00109762066408795","-0.0134661159903714","-0.00600694346058692","-0.15263996437554","-0.00253637330758654","-0.000111265580309323","0.00331022930015674","0.00534639413772949","-0.00567280321920759","-0.0019753970582033","-0.0033945306481388","-0.0142127900340701","-0.00234725205115581","0.00158142658952404","0.00912252440922087","0.000713031180465058","-0.00563547296143354","-0.0135099926625573","-0.00408603266206763","-0.0208537530635315","0.000200448171375289","0.000528852352865148","-0.000417420850178073","0.00876482828685259","0.00943810211572761","-0.00663675466145699","-0.00924537409328548","-0.0209868736987295","-0.023178449405223","-0.00910214377561195","-0.0126716482476753","-0.00989020946703665","-0.0115569477156365","-0.0162622992851466","-0.0143274256116407","-0.0562431557369191","0.0014331156604723","0.00323580666639075","0","0.00266792574100954","0","-0.0208219377386486","-0.00534175502585378","-0.0161184923722438"
"MMSA-shelby","earthquake","sectorPuma_model","DDS_ HS1A","-2.12012505073713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.0481242367048167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
