Testbed,Hazard,Model_Type,Model_Name,(Intercept),AG_MIN,UTIL_CONS,MANU,WHOLE,RETAIL,TRANS,INFO,FINANCE,REALE,PROF_MAN,ADMIN_EDU,HEALTH,ART,ACCO,OTHER,HS1,HS2,HS3,HS4
Joplin,tornado,sector_model,DFFD _ MANU_L2,1.50593281809162,-0.0117644705658889,0.025374403196404,-0.0378803583098982,-0.0209800775141667,-0.0108776970454749,0.00111252132193161,0.0142148118186748,0.028706960851669,0.0493399718997822,-0.00484399984521084,0.0157216796274638,0.0209927233822052,0.017056956142802,0.0343920550387842,0.0123876382727275,-0.0166869021330245,-0.0364529991111051,-0.0427249406228309,-0.0158488313865773
Joplin,tornado,sector_model,DFFD _ MANU_L3,1.89467513544148,-0.0071986226882656,0.0323665909568903,-0.0476476621816815,-0.034448545887485,-0.0150752210973487,0.00914948542904966,0.022410754865773,0.00968131022003209,0.0174905691814596,-0.00091134907923478,0.00954973273649853,0.0181441468773621,0.0430150106154083,0.00522419629105114,0.00676470015187422,-0.0215538102510657,-0.0469703943951911,-0.0550492441492552,-0.0204921640545382
Joplin,tornado,sector_model,DFFD _ MANU_L4,0.11534329375369,-0.000921408246753336,0.0069450864213691,-0.00988894993649064,-0.00488677289759711,-0.00311569830821051,0.0012066884356222,0.00140793546545518,-0.00110497917432349,0.00469155339169149,-0.00190482521575744,0.00236077958783547,0.00607238998818644,0,0,0.000238066640414805,-0.00416605352834484,-0.00921428903835002,-0.0107938333158476,-0.00399858074385477
Joplin,tornado,sector_model,DFFD _ WHOLE_L1,0.161656958223731,-0.00197877561926995,0.00164428757088467,-0.000182731298986341,0.0415556022117561,-0.0021818724257785,0.000622799835629535,0,0.00128902501179609,-0.00262965616738487,-0.000227219018329277,0.00427898733126182,0.00179095565533495,0.000159578858701937,0.0200419171858043,0.00521582396014695,-0.00851945149659967,-0.0175741416962951,-0.0203743237225084,-0.00811134755104872
Joplin,tornado,sector_model,DFFD _ WHOLE_L2,0.198072718971991,-0.00281065276739642,0.00375255622751129,-0.00016227633898382,0.0498052655121316,-0.00267885585731276,6.44929730308804e-05,0.00218361907418203,0.00649030122313917,0.00879587240968038,-8.07760817615926e-05,0.00349120233905048,0.00451408432920398,0.00232603547890639,0.00707346339309129,0.00359060745565636,-0.0104990384768928,-0.0215810792727909,-0.0249998170392277,-0.010005512061122
Joplin,tornado,sector_model,DFFD _ WHOLE_L3,0.507731799861299,0,0.00633236758000871,0,0.0879320416979508,-0.00508305104692506,0.00219209392045856,0.00466166412576999,0.00243688432474937,0.000193017216913854,0.000177275225918533,0.00258530563510726,0.005020166623435,0.00967827315890803,0,0.00326311566451945,-0.0188510617542598,-0.0389986887673676,-0.0451586212345041,-0.0181014303306767
Joplin,tornado,sector_model,DFFD _ RETAIL_L1,1.65690490106589,0,0.00503778104220048,-0.00424984962557217,-0.0246656174661662,-0.0130182535956018,-0.000533699545380191,-0.00182632687931608,0.00241321419352805,-0.00896273390974407,-0.00681706299335389,0.012488085338033,0.00294426445852342,0,0.0816773931571724,0.0173497723388184,-0.0285558250471951,-0.0591858834879564,-0.0685912686420672,-0.0273759640079324
Joplin,tornado,sector_model,DFFD _ RETAIL_L2,2.54689116707127,-0.00816973216951195,0.0194653869846289,-0.00705672262898597,-0.040837124759152,-0.022152350497039,-0.00603131048075265,0.00968099253499178,0.03396410168765,0.0556656683690641,-0.0110513456803822,0.0116015138411238,0.0192291990963095,0.012403235976553,0.0367984810505805,0.0136852124695646,-0.0496067628420667,-0.101740206925565,-0.117709876563702,-0.0473235679023706
Joplin,tornado,sector_model,DFFD _ RETAIL_L3,1.13821877105984,0,0.0093977455227107,-0.00272909787130992,-0.0241877426572234,-0.0115653084115701,0.000505364808336006,0.00688968100646673,0.00239889972364762,0.00321508905352856,-0.00259642785985887,4.72895798453725e-05,0.00478421928225118,0.0170695499667663,-0.00198449825926179,0.00190483382077506,-0.0247069909351832,-0.0506397226790942,-0.0585721422255251,-0.0235943328280803
Joplin,tornado,sector_model,DFFD _ RETAIL_L4,0.313294363882265,-0.000507200146859044,0.00452138338792512,-0.00108471677275063,-0.00846328224371862,-0.00528554286589964,-0.000159201266054987,-8.04747210591193e-05,-0.00242616255898015,0.00283440327242213,-0.0034002928278904,0.000490147838853178,0.00485975448892067,-0.00204435406627171,-0.00231575861340025,-0.000261185212823978,-0.011010417138312,-0.0225790035558422,-0.0261019003294303,-0.0105260907958298
