moderate,slight,extensive,slight,slight,slight,slight,slight,moderate,slight,slight,moderate,slight,complete,slight,moderate,none,complete,extensive,slight,slight,slight,complete,complete,slight,extensive,slight,complete,complete,moderate,complete,slight,complete,slight,extensive,moderate,complete,complete,complete,complete,complete,extensive,complete,slight,complete,extensive,extensive,complete,slight,moderate,complete,complete,complete,complete,moderate,complete,complete,complete,complete,complete,complete,extensive,complete,extensive,complete,complete,moderate,complete,extensive,complete,complete,extensive,moderate,slight,complete,slight,complete
slight,slight,slight,none,none,slight,slight,complete,extensive,none,none,complete,none,extensive,slight,slight,none,slight,slight,slight,slight,slight,none,none,slight,slight,slight,slight,slight,none,slight,slight,slight,slight,moderate,slight,slight,slight,slight,complete,moderate,extensive,extensive,slight,moderate,moderate,moderate,complete,slight,moderate,extensive,moderate,extensive,moderate,moderate,slight,complete,slight,moderate,extensive,extensive,slight,extensive,slight,complete,complete,slight,slight,slight,extensive,extensive,slight,none,slight,extensive,slight,moderate
none,none,slight,none,none,none,none,none,slight,none,none,slight,slight,slight,slight,slight,none,slight,none,none,none,none,slight,moderate,none,slight,none,none,none,slight,extensive,slight,slight,none,none,none,slight,moderate,slight,slight,slight,slight,slight,none,slight,none,slight,extensive,none,none,slight,slight,slight,slight,slight,none,slight,none,none,none,none,none,none,none,slight,slight,none,slight,none,extensive,moderate,slight,slight,none,slight,none,slight
none,none,none,none,none,none,none,none,slight,none,none,slight,none,slight,slight,slight,none,slight,none,none,none,none,slight,none,none,none,none,extensive,extensive,slight,none,extensive,extensive,slight,complete,none,complete,complete,slight,complete,complete,moderate,slight,none,slight,slight,moderate,slight,slight,slight,complete,complete,slight,none,moderate,moderate,slight,extensive,complete,moderate,moderate,extensive,extensive,slight,extensive,extensive,slight,moderate,slight,complete,moderate,moderate,none,none,extensive,slight,slight
extensive,slight,complete,slight,slight,slight,slight,none,complete,slight,none,complete,complete,moderate,moderate,moderate,slight,extensive,slight,slight,moderate,slight,complete,extensive,slight,complete,slight,extensive,complete,complete,complete,complete,complete,slight,moderate,slight,extensive,complete,extensive,extensive,complete,extensive,complete,moderate,complete,moderate,extensive,complete,slight,extensive,complete,complete,complete,complete,extensive,complete,complete,complete,complete,complete,extensive,extensive,extensive,slight,complete,complete,slight,extensive,slight,complete,complete,complete,complete,slight,complete,slight,complete
complete,moderate,moderate,slight,slight,complete,moderate,slight,complete,slight,slight,complete,complete,complete,complete,extensive,moderate,complete,slight,slight,moderate,slight,complete,complete,slight,extensive,slight,complete,complete,complete,complete,complete,extensive,complete,complete,slight,complete,complete,complete,complete,complete,complete,complete,complete,complete,complete,extensive,complete,complete,complete,complete,complete,complete,complete,extensive,complete,complete,complete,extensive,extensive,extensive,complete,complete,complete,complete,complete,moderate,extensive,slight,complete,complete,complete,extensive,slight,complete,extensive,complete
slight,none,slight,none,slight,none,none,slight,extensive,none,slight,moderate,moderate,slight,moderate,slight,slight,slight,none,slight,none,slight,slight,moderate,slight,slight,slight,extensive,slight,moderate,extensive,slight,slight,slight,extensive,none,slight,moderate,moderate,complete,extensive,slight,moderate,none,slight,slight,slight,complete,none,slight,slight,moderate,complete,complete,slight,moderate,complete,extensive,slight,extensive,moderate,extensive,moderate,slight,moderate,complete,slight,slight,slight,complete,complete,slight,slight,slight,complete,slight,slight
moderate,slight,complete,slight,slight,slight,slight,slight,extensive,slight,none,slight,slight,moderate,moderate,moderate,moderate,complete,slight,slight,extensive,extensive,complete,extensive,slight,extensive,slight,complete,complete,slight,extensive,slight,moderate,slight,complete,slight,extensive,extensive,complete,complete,moderate,moderate,extensive,slight,complete,none,slight,complete,slight,extensive,complete,extensive,complete,complete,extensive,moderate,extensive,slight,slight,slight,moderate,slight,slight,none,complete,complete,slight,slight,slight,complete,complete,moderate,moderate,slight,complete,none,slight
slight,slight,extensive,slight,slight,slight,slight,slight,extensive,slight,slight,complete,slight,moderate,extensive,moderate,moderate,moderate,slight,moderate,moderate,slight,extensive,extensive,complete,complete,slight,slight,complete,none,none,moderate,extensive,none,none,extensive,complete,moderate,slight,moderate,complete,moderate,extensive,slight,complete,slight,moderate,slight,moderate,moderate,complete,complete,complete,complete,extensive,extensive,extensive,extensive,complete,complete,extensive,slight,complete,complete,complete,complete,slight,extensive,slight,moderate,extensive,extensive,slight,slight,complete,slight,moderate
slight,slight,moderate,none,slight,moderate,slight,slight,complete,slight,slight,extensive,slight,moderate,slight,extensive,slight,complete,slight,slight,slight,slight,complete,moderate,slight,complete,slight,moderate,complete,moderate,moderate,slight,slight,slight,slight,slight,slight,moderate,none,slight,slight,slight,moderate,slight,extensive,none,none,extensive,slight,none,slight,slight,slight,complete,extensive,extensive,moderate,extensive,extensive,extensive,slight,moderate,extensive,slight,complete,complete,slight,moderate,slight,complete,complete,extensive,moderate,slight,complete,none,moderate
