Epicenter Distance,Restricted Entry,Restricted Use,Reoccupancy,Best Line Functionality,Full Functionality
44.6,0.244,0.426,0.145,0.119,0.0666
34.8,0.295,0.472,0.121,0.083,0.0289
32.6,0.306,0.484,0.112,0.0701,0.0276
53.8,0.212,0.384,0.147,0.148,0.109
47.4,0.238,0.416,0.145,0.127,0.0742
36.3,0.287,0.471,0.122,0.0839,0.0368
38.4,0.273,0.459,0.13,0.0945,0.0434
33.5,0.193,0.482,0.156,0.115,0.0543
52.3,0.199,0.39,0.159,0.157,0.0957
42.7,0.253,0.43,0.14,0.114,0.0635
36.4,0.293,0.471,0.119,0.0825,0.034
43.4,0.246,0.427,0.146,0.121,0.061
44.5,0.241,0.422,0.145,0.125,0.0666
39,0.279,0.453,0.127,0.095,0.0472
32,0.32,0.486,0.103,0.064,0.0266
54.7,0.208,0.384,0.153,0.155,0.101
36,0.295,0.478,0.119,0.0757,0.0328
39.6,0.273,0.465,0.127,0.0913,0.0441
54,0.199,0.378,0.156,0.157,0.111
45,0.239,0.433,0.144,0.121,0.0631
61.1,0.17,0.341,0.162,0.179,0.147
27.8,0.328,0.513,0.0938,0.0504,0.0144
40.3,0.267,0.451,0.135,0.102,0.0453
40.8,0.255,0.457,0.138,0.102,0.0483
49.1,0.226,0.405,0.146,0.136,0.0878
50.8,0.211,0.391,0.151,0.147,0.0999
63.8,0.171,0.346,0.164,0.177,0.143
49.2,0.213,0.404,0.157,0.141,0.0861
43.9,0.241,0.417,0.146,0.124,0.0712
48.9,0.15,0.397,0.172,0.166,0.115
30.5,0.312,0.493,0.106,0.0648,0.0247
63.6,0.167,0.34,0.16,0.185,0.149
39.5,0.276,0.451,0.129,0.0968,0.0469
45,0.249,0.426,0.14,0.118,0.0673
54.4,0.0303,0.285,0.237,0.225,0.222
49.6,0.21,0.404,0.159,0.145,0.081
45.4,0.245,0.42,0.141,0.121,0.0731
33.8,0.291,0.477,0.116,0.0805,0.0353
35.5,0.288,0.474,0.123,0.0816,0.0325
31.1,0.303,0.493,0.111,0.0686,0.0245
39.2,0.272,0.453,0.127,0.0964,0.0514
38.2,0.262,0.464,0.132,0.0959,0.0458
36.1,0.292,0.461,0.12,0.0894,0.0389
54.8,0.201,0.383,0.161,0.155,0.0999
49.5,0.226,0.409,0.148,0.134,0.0831
30.9,0.198,0.508,0.181,0.0889,0.0243
47.1,0.246,0.418,0.143,0.124,0.0694
30.2,0.642,0.263,0.0459,0.0347,0.0139
52.9,0.212,0.404,0.156,0.143,0.0842
40.9,0.267,0.449,0.137,0.102,0.0454
50,0.215,0.408,0.152,0.138,0.0865
47.2,0.249,0.426,0.138,0.116,0.0708
26.7,0.333,0.514,0.0871,0.0461,0.0198
43.1,0.246,0.438,0.14,0.113,0.0622
33.6,0.617,0.268,0.0524,0.0425,0.0202
38.1,0.327,0.454,0.108,0.0777,0.034
33.8,0.296,0.477,0.117,0.0785,0.0319
35.7,0.28,0.479,0.125,0.0832,0.0335
30.1,0.312,0.49,0.107,0.0662,0.0253
41.7,0.261,0.438,0.132,0.108,0.0605
29.9,0.318,0.498,0.0967,0.0597,0.0276
40.2,0.318,0.434,0.112,0.091,0.0443
37.9,0.276,0.464,0.123,0.0899,0.0471
51.9,0.208,0.391,0.159,0.154,0.0883
44.8,0.239,0.419,0.144,0.126,0.0721
39.3,0.268,0.458,0.133,0.0975,0.0434
49.3,0.23,0.417,0.147,0.13,0.0759
48.9,0.302,0.333,0.116,0.134,0.115
48.7,0.225,0.409,0.148,0.133,0.0844
28.4,0.325,0.505,0.0972,0.0554,0.0176
32.9,0.31,0.478,0.109,0.0714,0.0314
51.9,0.216,0.397,0.157,0.143,0.0871
43,0.255,0.434,0.134,0.113,0.0643
