"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","DRY_BULK","LIQUID_BULK","CONTAINER","WAREHOUSE","AGRI","MINING","UTIL","CONST","MANU","WHOLE","RETAIL","TRANS","INFO","FINANCE","REALE","PROF","MANAGE","ADMIN","EDU","HEALTH","ART","ACCO","OTHER","HS1","HS2","HS3"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L2WA","0.785751120790573","0.0275190943385393","0.0129165986833213","-0.44948673357937","0.0463401431241621","0.00575412121359229","0","-0.000739819022103156","0","-0.000153969481847176","-0.000424207548989639","-0.000235250263352453","-0.000121776752880632","-0.000608378334997529","-0.000316911436900412","1.91638218397951e-05","9.38665145042536e-05","0","9.63003175283411e-05","-3.40890241111581e-05","-2.74297226078805e-05","-0.000189580183906115","1.70261653187779e-05","3.43862177211329e-05","-0.00240388392131124","-0.00168968607693662","-0.00210767233071001"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L3WA","1.11829428317007","0.0331441967508392","0.0328346771506896","-0.608772336032356","0.0573965033307555","0.00929886043560819","0","-0.00161561881163857","0","-0.000196308490053358","-0.000589839416912697","-0.000293715275275827","-0.000153653452272696","-0.00082622031911623","-0.000501269474658838","9.17781558491633e-05","0.00016456743447265","0","0.000260364672861713","-1.97503122029649e-05","0","-0.000270316716119532","8.08577680076523e-05","8.45158575675846e-05","-0.00313782640577775","-0.00226053169675886","-0.00304266149408912"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L4WA","0.14855475015159","0.0140718104951776","0.00945262876555026","-0.179580820053393","0.0185714234515325","0.000374918637596733","0","0","0","-5.25129852022318e-05","-0.000153733168042325","-8.92701293878589e-05","-3.26420156129117e-05","-0.000192355524763593","-4.26630847957117e-05","0","0","0","0","-2.06818648242025e-05","-1.81799176048757e-05","-5.88100197487286e-05","0","0","-0.000913336186902725","-0.000673986723791889","-0.000935443580775213"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L1BA","0.467307841158288","0.00363860868301173","0.00720681357588478","-0.331244981593784","0.0386552777287262","0.0031996406662778","0","-0.000194446184977068","-4.7826872220206e-07","-0.000114673321762549","-0.000296602599476136","-0.000189749126783836","-8.85705252334453e-05","-0.000446823615137509","-0.000153790367311805","0","1.22199943407568e-05","0","0","-6.0001103232251e-05","-7.62238064907656e-05","-0.000117866212998857","0","0","-0.00178778078383283","-0.00125402111058193","-0.00152404581892926"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L2BA","1.16941813504438","0.0198572171381944","0.0163247309903086","-0.632611559855594","0.0706895982816346","0.00939996118887325","0","-0.00169114120889339","-7.21766058967987e-06","-0.000220077077659764","-0.000600169309314108","-0.000355279429558643","-0.000185854012683713","-0.000908429365638302","-0.000433727481941938","0","0.000139775887082797","0","8.62742154953955e-05","-9.82345293760541e-05","-0.000117301651340602","-0.000251328744218629","6.65892608028793e-06","0","-0.00347125556744513","-0.00241996845087255","-0.00291578104697893"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L3BA","0.396337150829149","0.00828121893722827","0.0096989437804438","-0.266827766577911","0.0235010768255623","0.00198575285942214","0","0","1.10171553233713e-05","-6.14166976150776e-05","-0.000222304450566438","-9.1566457852279e-05","-4.40505752974073e-05","-0.000293022638588165","-0.000173805464554588","0.000104927595813272","7.30687133416321e-05","0","0.000134146317233977","0","7.81680094208078e-06","-0.000114584153350239","8.20851868881303e-05","7.35698858231033e-05","-0.00139590037634323","-0.000982183093981942","-0.00125781095783287"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L4BA","-0.154536906365911","0","0.000958759968107752","-0.0139484504995377","0.00145761985552585","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-6.86760888828116e-05","-5.29011103017157e-05","-7.31615867281072e-05"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L2OA","-0.12807877308197","0.000121381916798683","0.00521179948016842","-0.0533192370932081","0.0051563874649976","0","0","0","0","-1.16911848263961e-05","-3.34040842949508e-05","-2.32890827479332e-05","0","-3.73191769784629e-06","0","0","0","0","0","-1.32299633230523e-06","-9.01593343691034e-06","-6.42257829141678e-06","0","0","-0.00030123617787319","-0.000211254949194504","-0.000251545783020566"
"Mobile","hurricane","sector_model","DFFD _ CONTAINER_L4OA","-0.153381384285443","0","0.00169434751768935","-0.0334510177351445","0.0036803793096458","0","0","0","0","-9.36174971304899e-07","-6.5391886735639e-06","-7.06146513692984e-06","0","0","0","0","0","0","0","0","0","0","0","0","-0.000170356732375077","-0.000127082676398791","-0.000171733622792143"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L1WA","0.137222281626526","0.103896816639968","0.0194698624064026","0.0258854922003416","-0.0408401829915105","0","0","0","-5.12121670112833e-07","-0.000246171047211158","-0.000458011813228528","-0.000341144043776801","-0.000158180180751297","-0.000271803269928483","-0.000310691565989113","-7.54891279464087e-05","-0.00019942415242683","0","-8.389799344478e-05","-0.000122287040524432","-0.000222880523137133","-0.000171205557958363","-0.000395799513565089","-6.50565185349886e-05","-0.00150504460306488","-0.00105659773652042","-0.00126305060737917"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L2WA","3.57518534195698","0.136720910952872","0.0637085443791796","0.205168463174737","-0.308273832838183","0.000293820527156649","0","0","0.00112628710305701","-0.000869230280574808","-0.00266942171620075","-0.00126183296417571","-0.000506444618597983","-0.00120648257634698","-0.00247414099122338","0.000542054194082282","-0.000506085566875524","0","0.000769299683383955","0","8.3032235347147e-05","-0.00105740821495939","-6.49082699013753e-05","0.000198524411637069","-0.0111706449342327","-0.00789846214569027","-0.00990426524378483"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L3WA","4.72030041992798","0.163349800027691","0.155233834942976","0.253493021653073","-0.435565985912609","0","0","0","0.0016445263508333","-0.00104092513889327","-0.00353667504547953","-0.00153401840784963","-0.000534218902767876","-0.00111205178985704","-0.00323246851137323","0.000726279177184795","-0.000517438595461802","0","0.00116424245303882","4.70639233046885e-05","0.00027161425947594","-0.00140688741830874","0","0.000394549202656764","-0.0145423051189712","-0.0105429168529057","-0.0142208638507946"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L4WA","1.21392546891079","0.0714627068563127","0.0459515704049956","0.0838493230025574","-0.124626743761125","0.00290495006541772","0","0","0.000441962412911072","-0.000356248724451449","-0.00112213620526424","-0.000537427634974286","-0.000229883445497617","-0.000616077208271342","-0.000981166635294038","9.75300038324019e-05","-0.000332150471978203","0","0.000319642559901212","-1.38668010718456e-05","0","-0.000416255301771745","-6.32480078492017e-05","1.66814223621068e-05","-0.00432521227017614","-0.00319866216284029","-0.00445764533764023"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L1BA","2.46340165179696","0.0270214842406943","0.0369599356661775","0.171610287162412","-0.211829800542578","0.00537436147278589","0","0","0.000737749043314124","-0.000711804279286861","-0.00201568138082497","-0.0010562475666313","-0.00046737779753004","-0.00127027533631834","-0.00180148710807091","0.000194621332592606","-0.000625663530260844","0.000604994576687919","0.000461808155475062","-8.66118752568957e-05","-6.97989284799499e-05","-0.000744407155579084","-0.000290409394618259","-4.29718466024901e-06","-0.00834088476725398","-0.00588104846249746","-0.00719906880922502"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L2BA","4.79948900845822","0.104360516908816","0.0808103857369535","0.310435840205745","-0.413533135715394","0","0","0","0.00124536601756446","-0.001182602122081","-0.00364536079235053","-0.00182426512009453","-0.000653061107283672","-0.00139575417743025","-0.00301018844452605","0.000139549637225254","-0.000765781432079289","0","0.000480827728136508","0","0","-0.00133725007855754","-0.000160193024940445","1.4177074658285e-05","-0.0160722915912722","-0.0112832959522286","-0.0136719563340491"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L3BA","2.01980998787856","0.0466046941027889","0.0476770502243217","0.105784374020702","-0.19826948134944","0.00594697740462432","0.000201755125260301","0","0.00110205474543356","-0.000432858159863111","-0.00157251539435231","-0.000585287852851933","-0.00026866907155941","-0.000828712178915913","-0.00172362440880844","0.00100594615530126","-0.000132155858500311","0","0.00107449558340407","0.000255315663346766","0.000465423164964805","-0.000702280129209007","0.000230984726792808","0.000391258662958521","-0.00653795616377048","-0.00462013348053584","-0.00595001917988125"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L4BA","-0.157360562116502","0.000823184356309661","0.00581595494286995","0.00778493802063735","-0.0112700883701785","0","0","0","0","-9.575401898624e-06","-7.94362352957448e-05","-4.14083797953494e-05","0","0","-1.02057611043581e-06","0","0","0","0","0","0","-2.68897064640324e-05","0","0","-0.000403972886353005","-0.000302912624807249","-0.000432488582430876"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L2OA","0.110695892681259","0.00398383805925133","0.0257916225039554","0.0242710289547882","-0.0394400179006533","0","0","0","5.92637616054305e-05","-0.000114524942908264","-0.000353110282407029","-0.000185675707924899","-5.96527196877419e-05","-0.000146843485588966","-0.000247946290267663","0","-6.53714163821111e-05","0","0","-2.31989628483026e-06","-2.16784423049901e-05","-0.000125888983783016","-5.91151255222087e-05","0","-0.00148129257149817","-0.00103711577329894","-0.0012549878524368"
"Mobile","hurricane","sector_model","DFFD _ WAREHOUSE_L4OA","-0.026481505993324","0.00254331045328472","0.00919056085556654","0.0178143825882549","-0.0239356370327056","0","0","0","1.6153979762859e-05","-4.88824008548444e-05","-0.00019669487819827","-9.87328203935841e-05","-2.3533622911981e-05","-3.70998104634781e-05","-0.000105256375442055","0","0","0","0","0","0","-7.0809510126879e-05","0","0","-0.00088212649358051","-0.000651345921174524","-0.00089609434048749"
"Mobile","hurricane","sector_model","DFFD _ AGRI_L1WB","0.0237935425840067","-0.00621901688183392","-0.00369251571273488","-0.00274320719908392","-0.00304595484504579","-0.672163272493618","-0.00158789032761527","0.000887862469251139","0.000564943576610815","-0.0070478673452859","-0.000727517060332674","0.00259208919157272","-0.000796191151477482","0.00081190185574808","-0.000160895536681297","0.00312468346291762","0.000773632303538011","0","0.0041337603122843","0.00298025439144798","0.00130204213465236","0.00050222503063925","0.00878240080002365","0.00131157988958529","-0.00163299055062792","-0.00118453523992057","-0.00147452717896872"
"Mobile","hurricane","sector_model","DFFD _ AGRI_L2WB","0.158179644617148","-0.00578454241509606","-0.00342988807414618","-0.00245524177951691","-0.00288335698314961","-0.625404111691715","-0.000976617245916804","0.000542134764927776","0.00145721157614884","-0.0064751052816469","-0.0001912663082607","0.00242517034389107","-0.000415787281405416","0.00103919433544142","0","0.00435141963397943","0.00089734067467633","0","0.00373290107245496","0.00158695524102961","0.00224648569616838","5.21595679041e-05","0.00265909557758813","0.000890343896163589","-0.00159154057826315","-0.00115047754230814","-0.00141818720097341"
"Mobile","hurricane","sector_model","DFFD _ AGRI_L3BB","-0.29285177900965","-0.00236801137618644","-0.0015619264681802","-0.000949734523391751","-0.00129437970455463","-0.155657895046428","0","0.00224693901033588","0","-0.0014334586778476","-0.000433441458901765","0.000204602242651194","-2.26172575599179e-05","0.000365305154796462","0","0.00111781505173928","6.02917749108283e-05","0","0","0.00107232503744093","0.000581612489564142","4.38243468110824e-05","-8.87987877696527e-05","0.000159160006903356","-0.000366732142042814","-0.000342823155723536","-0.000689659509824433"
"Mobile","hurricane","sector_model","DFFD _ MINING_L3WB","0.0538536377243854","-0.00429483160657448","-0.00243038708932148","-0.00175244301248433","-0.00215003152253878","0","-0.0644410099433417","-0.017746668590781","-0.00767353170135408","-0.00223145352853759","0","0.000486960941784933","-0.000802563232501289","0.000373785757081764","0","0.00177469784263551","0.000687309939726616","0","0.00095498903361723","0.001132785768581","0.00108918702924874","5.82279915982313e-06","-7.06486373321125e-05","0.000835605727962174","-0.00049566052408929","-0.000622084666411385","-0.00167763355003296"
