"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","AG_MIA","UTILA","CONSTA","MANUA","WHOLEA","RETAILA","TRANSA","INFOA","FINANCEA","REALEA","PRO_MANA","ADMINA","EDUA","HEALTHA","ARTA","ACCOA","OTHERA","AG_MIB","UTILB","CONSTB","MANUB","WHOLEB","RETAILB","TRANSB","INFOB","FINANCEB","REALEB","PRO_MANB","ADMINB","EDUB","HEALTHB","ARTB","ACCOB","OTHERB","HS1A","HS2A","HS3A","HS4A","HS1B","HS2B","HS3B","HS4B"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L2WB","-0.214181431966445","0","0","0","-3.27889863825554e-05","0","-0.000206912987860552","0","0","0","0","0","0","0","-7.14540350842335e-05","0","0","0","0","-2.22214377909665e-05","-1.82630967321138e-06","-0.000570917210362886","-0.000765832341493322","-0.000798323247739329","0","0","-0.000198822849712599","0.000287074633645696","0","-0.000584776629381447","-0.000161572323795651","-4.09567064700882e-05","0","-3.35973550059615e-05","0.000876275185827075","-0.000911972041721197","-0.000948819628243834","-0.000978822242734438","-0.00100748727880757","-0.000368367675410525","-0.000249000520623878","-0.000282516089277988","-0.00026082354099345"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L3WB","-0.213019694171472","0","0","0","0","0","-1.83719038733033e-05","0","0","0","0","0","0","0","0","0","0","0","1.09405302011292e-05","-2.56763456984221e-05","0","-8.59749729012327e-05","-0.000137942995336194","-0.000121726484371424","0","0","0","0","0","0","-1.80687378001394e-05","0","0","0","0.000155221710364155","-1.6353707957606e-05","-0.000145910408771644","-0.000167519679740113","-0.000184381655448055","-9.50349382028651e-06","-2.61323233725897e-05","-4.32632140527785e-05","-3.970323841417e-05"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L1BB","-0.227618067966638","0","0","0","0","0","-1.26336681489715e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-3.97290823215606e-05","-0.000361716298129081","-0.000249904912316239","0","0","-2.13462722607424e-06","0","0","0","-4.46114968768447e-05","0","0","-4.42371486910788e-06","0.000233638766886402","-8.0938042725281e-05","-0.000224970908639655","-0.000241656911006446","-0.000262482175073773","-4.29535165034163e-05","-4.49335648365726e-05","-6.4397755872524e-05","-5.8696592984365e-05"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L2BB","-0.232294222203275","0","0","0","0","0","-2.05893557220093e-05","0","0","0","0","0","0","0","0","0","0","0","0","-3.00579367717755e-05","0","-0.000150346363516927","0","-0.000227653274092559","0","0","-2.3034042672859e-05","0","0","-3.26719800180393e-06","-5.19451636780089e-05","0","0","0","0.000264254891393889","-0.000156926785829771","-0.000288685499946468","-0.000308458203422589","-0.000332102119219433","-7.18383627205603e-05","-6.41588985614398e-05","-8.61408628830509e-05","-7.96376628568127e-05"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L3BB","-0.218970055340864","0","0","0","0","0","-7.16008754719427e-05","0","0","0","0","0","0","0","-2.66308501290886e-06","0","0","0","0.00013686215141306","0","0","-0.000522988765666665","0","-0.000260068355696954","-0.000115571530357833","0","-6.68265453584763e-05","0","-0.000161284603422631","0","-2.42292208399373e-05","-8.68803049247392e-06","0","0","0.000488313628919475","-0.000505812976063002","-0.000603437673600611","-0.000630436044007074","-0.000655254802685563","-0.000191380582897563","-0.00014879545450422","-0.000176227568161476","-0.000164520514920682"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L1IB","-0.231535745641677","0","0","0","0","0","-1.88550177941225e-05","0","0","0","0","0","0","0","0","0","0","0","4.60262628466545e-05","0","0","-0.000194514458410995","-0.00112800829052959","-0.000741040443473809","0","0","-4.88321927542951e-05","0","0","-0.000356404709663561","-1.46250277819519e-05","0","0","-4.02760360555562e-05","0.00047335464321604","-0.000432794048670706","-0.000547723385350244","-0.00057110532236446","-0.000596262764159851","-0.000132409488927556","-9.4164309442859e-05","-0.000119778592330789","-0.000107192884748327"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L2IB","-0.164346206865324","0","0","0","0","0","-6.64870958092693e-05","0","0","0","0","0","0","0","-3.19220089335142e-06","0","0","0","-7.16967456322792e-05","-9.9507447586253e-05","-0.000165524679146483","-0.000616095182494056","-3.87428462207263e-05","-0.000899536341548765","0","0","-0.000337252808379873","0.000352162732018686","-8.24086379920236e-05","-0.000244589334028986","-0.000169669269993334","-0.00016900670526876","0","-4.52083195586806e-05","0.00104172598479754","-0.00155872874726274","-0.00156820169468085","-0.00159643545761484","-0.00162874438718345","-0.00045073063436729","-0.000291075386358293","-0.000332387822528401","-0.000307128373748343"
"Lumberton","flood/hurricane","sector_model","DFFD _ OTHERB_L3IB","-0.21040038071969","0","0","0","0","0","-2.05683316604807e-05","0","0","0","0","0","0","0","0","0","0","0","9.67223289543118e-06","-0.000196922418960469","-2.15241270622607e-05","-0.000409581909943769","0","-0.000287510989669435","0","0","-5.37612340481641e-05","7.3520366369215e-06","-6.35701040303473e-05","-9.63892115987921e-05","-0.000143731058988108","0","0","0","0.000532622000049007","-0.000655811199470713","-0.000753942978366746","-0.00077313431531176","-0.000803624159651641","-0.000210734486981356","-0.000149838067418732","-0.000180257642706502","-0.000166654417941528"
"Lumberton","flood/hurricane","sector_model","DFFD _ COUNTY_L1WA","0.0215765184135847","0","6.11526904479177e-05","0","9.6846924388627e-06","0","-6.95253874504136e-06","0","0","0","0","0","0","0","0","0","-7.9875614635192e-05","2.98331257793111e-05","6.65602446219438e-05","5.3669912932302e-05","0","3.22214799449786e-05","0","3.42107668830461e-05","0","0","2.91608815353303e-05","0","0","0","1.72629367321119e-05","1.33914148748197e-05","0","3.27212234453026e-05","3.05035894429939e-05","0","0","-1.9307491985444e-05","-2.84286801159528e-05","0","-5.00059156118527e-05","-5.65133793002167e-05","-6.10698976492361e-05"
"Lumberton","flood/hurricane","sector_model","DFFD _ COUNTY_L2WA","0.0838239655246758","0.00687158791816191","0.00578676081121305","0.00300194378508981","0","-0.0049033878228819","0.000186217813542437","0.00237828723752896","-0.00414734173553383","-0.00129876613242764","0.00445700048790523","0.00371354808498917","-0.000351094433704353","0.00134442233256501","0.000235622850652373","0.00198368551668371","0.000694170152931547","0.0025101215770604","0.00369332218208941","0.00376384422084145","0.00159370234281552","0.00229318018798198","0.00134201713116218","0.00189553941616094","0.00185483972404852","0","0.00200068525059381","-0.00100862124318139","0.00112479927247642","0.00157570813562554","0.00210876845183947","0.00165049405963818","0.0025253792389916","0.00194008822299395","0.00169145905327219","-0.00138543590773046","-0.00191782662773956","-0.00189761618122875","-0.00194653687493374","-0.00378101594347861","-0.00400997649436681","-0.00400517800868998","-0.00402605012487566"
