"Testbed","Hazard","Model_Type","Model_Name","(Intercept)","CONST","RETAIL","SERV","HEALTH","ACCOM","REST","AGRI","MANUF","UTIL","HS"
"Seaside","earthquake/tsunami","sector_model","DFFD _ REST_L3","-0.00518237487321607","5.33019657918981e-06","-1.81847653222011e-07","-4.90142044761212e-06","-3.71048272524778e-08","1.54760831376644e-06","0.000384149563267693","-1.71306895306161e-05","-4.36841321256385e-06","2.17055917205924e-05","-1.49939891389321e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ AGRI_L1","-0.120102446562493","0","-1.02919682084248e-05","-2.01482875714274e-06","1.90047494519189e-06","1.71648284532187e-06","-5.05396228479219e-05","0","-6.07238094600618e-06","-1.8090379572205e-06","-5.16006200969868e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ AGRI_L2","-0.12041947073197","0","-9.17463074080551e-07","-2.29140584957649e-08","1.59879267465925e-07","9.37859367590448e-08","-2.57112820821496e-06","0","-3.60476624544201e-10","0","-5.18272897260493e-07"
"Seaside","earthquake/tsunami","sector_model","DFFD _ AGRI_L3","0.28843523270952","3.68597069330377e-06","-8.94141658590897e-06","-5.03261875847116e-06","1.15997186994121e-05","9.53430487875718e-06","-6.14803253123545e-06","0","-1.91564083382966e-05","3.93457919563136e-05","-1.21430967035453e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ AGRI_L4","-0.052865395159669","0","-9.75597234925234e-11","-9.69080110661697e-08","2.25177348048085e-09","1.27842391402263e-07","0","0","-1.15246158158597e-08","0","-3.24790454226752e-07"
"Seaside","earthquake/tsunami","sector_model","DFFD _ AGRI_L5","-0.129272570157541","-5.52717005110672e-07","-3.06815935701182e-06","-1.96750127396743e-06","1.51441778597278e-06","1.20144116666535e-07","4.21130809501118e-06","0","-4.33056613611301e-06","0","-2.97544845195565e-06"
"Seaside","earthquake/tsunami","sector_model","DFFD _ MANUF_L1","0.313221192631248","-2.50230426636096e-05","-8.17372945550325e-05","-7.5328921038911e-06","-5.93750740409345e-06","-1.02543300075308e-06","-0.000303194171916492","-5.69377591493344e-05","0.000143065593049005","0","-1.36018662025087e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ MANUF_L2","0.371771560311182","-1.55314810000649e-05","-9.57375272117041e-05","-1.14211256975739e-06","1.16439198133274e-05","1.09627256355173e-07","-0.000190175703661652","-6.86841972112157e-05","0.000155962866443078","-4.5690714907432e-06","-1.88620566990957e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ MANUF_L3","2.47626865083095","0","-0.000124870511348456","-3.05404090962386e-05","4.99163497264687e-05","5.0558872263226e-05","-4.11863978249647e-05","-0.000275619247426233","0.000308971125872553","0.000526781791001879","-5.88280222144111e-05"
"Seaside","earthquake/tsunami","sector_model","DFFD _ MANUF_L4","0.416803273950595","-7.51477002785661e-06","-2.33323433495755e-05","-1.02249730478044e-05","1.04690313311492e-05","8.94312656128578e-06","2.56367579267066e-05","-6.35525234771252e-05","8.31642000928695e-05","-2.22136292473438e-05","-1.69107553744635e-05"
